row_id,character,unicode_codepoint,standard_rank,original_structure,original_decomposition,original_components,proposed_structure,proposed_decomposition,proposed_components,radical,fill_rule,evidence_layer,authority_boundary,confidence,blocker,review_status,cnbe_write_status,database_rebuild_status,zdic_url
8105_full_0130,片,U+7247,130,左上包,⿸??,,左上包,⿸??,,片,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E7%89%87
8105_full_0138,爪,U+722A,138,上三包,⿵?丨,丨,上三包,⿵?丨,丨,爪,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E7%88%AA
8105_full_0140,介,U+4ECB,140,上下,⿱人?,人,上下,⿱人?,人,人,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%BB%8B
8105_full_0144,今,U+4ECA,144,上下,⿱人?,人,上下,⿱人?,人,人,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%BB%8A
8105_full_0157,乌,U+4E4C,157,上下,⿱丿?,丿,上下,⿱丿?,丿,丿,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%B9%8C
8105_full_0163,方,U+65B9,163,上下,⿱亠?,亠,上下,⿱亠?,亠,方,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E6%96%B9
8105_full_0166,斗,U+6597,166,镶嵌,⿻十?,十,镶嵌,⿻十?,十,斗,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E6%96%97
8105_full_0178,巴,U+5DF4,178,镶嵌,⿻巳?,巳,镶嵌,⿻巳?,巳,巳,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E5%B7%B4
8105_full_0182,以,U+4EE5,182,左右,⿰?人,人,左右,⿰?人,人,人,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%BB%A5
8105_full_0184,予,U+4E88,184,上下,⿱?丁,丁,上下,⿱?丁,丁,亅,no_safe_auto_fill,unresolved,AGENT_REVIEW_CANDIDATE_NOT_NATIONAL_STANDARD,NONE,SOURCE_EVIDENCE_REQUIRED,HUMAN_REVIEW_REQUIRED,NO_CNBE_WRITE,NO_DATABASE_REBUILD,https://www.zdic.net/hans/%E4%BA%88
