row_id,character,unicode_codepoint,standard_rank,standardizer_status,blocked_items,zdic_url,source_level
8105_full_3818,刭,U+522D,3818,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%88%AD,network_cross_reference_queue
8105_full_3819,甬,U+752C,3819,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%94%AC,network_cross_reference_queue
8105_full_3828,玭,U+73AD,3828,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%8E%AD,network_cross_reference_queue
8105_full_3829,玠,U+73A0,3829,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%8E%A0,network_cross_reference_queue
8105_full_3831,玥,U+73A5,3831,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%8E%A5,network_cross_reference_queue
8105_full_3832,玦,U+73A6,3832,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%8E%A6,network_cross_reference_queue
8105_full_3838,拤,U+62E4,3838,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%8B%A4,network_cross_reference_queue
8105_full_3844,拃,U+62C3,3844,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%8B%83,network_cross_reference_queue
8105_full_3848,㧟,U+39DF,3848,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E3%A7%9F,network_cross_reference_queue
8105_full_3869,茓,U+8313,3869,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E8%8C%93,network_cross_reference_queue
