row_id,char,unicode,approved_struct_name,approval_scope,approval_reference,decomposition_status,radical_status,stroke_status,candidate_cnbe_status,source_table_write_authorized
PENC_227,𬬮,U+2CB2E,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_228,𬬱,U+2CB31,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_229,𬬸,U+2CB38,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_230,𬬹,U+2CB39,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_231,𬬻,U+2CB3B,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_232,𬬿,U+2CB3F,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_233,𬭁,U+2CB41,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_234,𬭊,U+2CB4A,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_235,𬭎,U+2CB4E,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
PENC_236,𬭚,U+2CB5A,左右,structure_label_only,project_owner_human_audit_2026-07-25,PENDING_DECOMPOSITION_TREE,PENDING_DUAL_SOURCE,USE_INVENTORY_STATUS_NOT_APPROVED_HERE,NOT_GENERATED,false
